fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
183,train,442.4483947753906,3,0.018766304991633655,0.1049900259370842,0.023636102498291827,0.13909375721307,0.9532710280373832
184,test,881.3618774414062,3,0.024094976870819178,0.43514227532284505,0.025003841354743688,0.1406607868972973,0.9719626168224299
185,train,226.79029846191406,3,0.04919456853453281,0.3526077640746048,0.028273310422447375,0.17392286024595816,0.9626168224299065
186,train,755.49267578125,3,0.023772159111919808,0.09800737799470179,0.020960589886821042,0.11150600029135457,0.9719626168224299
187,test,944.9661254882812,3,0.039525181493349965,0.3507563012669999,0.028638696937557905,0.16492508546196474,0.9345794392523364
188,train,270.42559814453125,3,0.02119709323456439,0.03572830351281447,0.01954024371450946,0.10829917024916115,0.9626168224299065
189,train,258.02508544921875,3,0.00794963097743602,0.03312041431352557,0.01823568935916468,0.09220592309811658,0.9719626168224299
190,train,1083.4849853515625,3,0.027418499366618707,0.10485340269986776,0.032540204801250645,0.18236579412418158,0.9532710280373832
191,train,1668.004150390625,3,0.06787340042063288,0.05035733605688153,0.02580857758924043,0.1313074644110273,0.9439252336448598
192,train,13.683500289916992,3,0.014251874110798656,0.21331167322065478,0.0167144030540446,0.13192377989991838,0.9906542056074766
193,val,382.41290283203125,3,0.018951840833540113,0.08520928187797448,0.032225429766883536,0.1540533512605847,0.9719626168224299
194,test,167.82200622558594,3,0.030454917271319354,0.12589661760551338,0.033450568765469,0.183603308577371,0.9439252336448598
195,train,454.96551513671875,3,0.024359068655645816,0.10373343761729026,0.0251911949833698,0.1317044095684401,0.9532710280373832
196,train,122.28700256347656,3,0.0711351168228909,0.07854067388327285,0.028866251165567503,0.1450353025266501,0.9719626168224299
197,train,900.0120849609375,3,0.0154589509024156,0.19961627698481138,0.019915880139595995,0.11639706429429367,0.9532710280373832
198,train,201.256103515625,3,0.037896522564985075,0.10983698095179083,0.029312557297857977,0.13921216324485008,0.9719626168224299
199,train,1207.305419921875,3,0.03900843187654007,0.35512579665204863,0.026469009756370458,0.13205668216629518,0.9813084112149533
200,train,388.2789001464844,3,0.05514367270158596,0.020614382956314396,0.02256616650918275,0.10246894722642187,0.9158878504672897
201,train,714.9918823242188,3,0.030300764282679696,0.05722214775772287,0.02064192190300715,0.11314580588465048,0.9813084112149533
202,train,682.5740966796875,3,0.0043020737637045935,0.07615872284951207,0.02656700414593793,0.12608671737913799,0.9626168224299065
203,test,394.99591064453125,3,0.033930960609567136,0.06777865681614703,0.027961802149347015,0.1262543364454363,0.9532710280373832
204,train,15.733499526977539,3,0.003981583295923641,0.2279873657267923,0.02597347732100985,0.14392171389144107,1.0
205,train,40.83420181274414,3,0.06062392486835846,0.3372180627765742,0.022069102496907595,0.13729155936304865,0.9813084112149533
206,test,362.86151123046875,3,0.019235393521820975,0.09074750283881994,0.02426119611044297,0.15804760502623608,0.9906542056074766
207,train,532.3018798828125,3,0.04642233998562439,0.251369334341765,0.029888644732151613,0.14722081924703853,0.9345794392523364
208,val,1139.1236572265625,3,0.03783757513655692,0.15308074730679308,0.0233227503160456,0.13817200038404015,0.9906542056074766
209,train,669.3734741210938,3,0.036026765690553075,0.04999155143634644,0.021708377875204965,0.12480360117511546,0.9532710280373832
210,train,1734.905517578125,3,0.018971842400027097,0.08343659871319563,0.025182328429300817,0.14915869989078856,0.9065420560747663
211,train,1641.552490234375,3,0.00626760821886129,0.1446689280580641,0.021432911612542644,0.09235699461848956,0.9252336448598131
212,test,203.22279357910156,3,0.012360596166140533,0.15606848272063117,0.02149320419292589,0.12611890404794554,0.9532710280373832
213,val,1617.657958984375,3,0.033222057333035813,0.2469077380418395,0.028045433560097626,0.12165665538660528,0.9532710280373832
214,train,1038.1370849609375,3,0.018971760980243887,0.44710486099092306,0.027860706132789934,0.1294082573732569,0.9719626168224299
215,test,1240.6944580078125,3,0.005485457685759863,0.2630304724944262,0.029045574020940393,0.11386480955719605,0.897196261682243
